"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.940775553E0,-6.942483783E-1,3.115412779E-2,-1.343903504E-2,6.950769728E-1
1.941623553E0,-6.942483783E-1,3.115412779E-2,-1.343903504E-2,6.950769728E-1
1.950132553E0,-6.945537925E-1,-4.886921961E-3,-2.443460934E-2,6.950006495E-1
1.950984553E0,-6.945537925E-1,-4.886921961E-3,-2.443460934E-2,6.950006495E-1
1.959421553E0,-7.119634151E-1,-2.199114859E-2,-3.940080851E-2,7.133918550E-1
1.960271553E0,-7.119634151E-1,-2.199114859E-2,-3.940080851E-2,7.133918550E-1
1.968758553E0,-7.183775306E-1,-1.679879427E-2,-5.100724846E-2,7.203819926E-1
1.969597553E0,-7.183775306E-1,-1.679879427E-2,-5.100724846E-2,7.203819926E-1
1.978109553E0,-7.250970602E-1,-2.351831272E-2,-4.886921868E-2,7.271224507E-1
1.978989553E0,-7.250970602E-1,-2.351831272E-2,-4.886921868E-2,7.271224507E-1
1.987417553E0,-7.501425147E-1,-2.382374369E-2,-4.214970022E-2,7.517033726E-1
1.988279553E0,-7.501425147E-1,-2.382374369E-2,-4.214970022E-2,7.517033726E-1
1.996726553E0,-7.843509912E-1,-1.679879427E-2,-4.489859566E-2,7.858145843E-1
1.997598553E0,-7.843509912E-1,-1.679879427E-2,-4.489859566E-2,7.858145843E-1
2.006023553E0,-7.965682745E-1,-2.443460980E-3,-4.092797264E-2,7.976227714E-1
2.006854553E0,-7.965682745E-1,-2.443460980E-3,-4.092797264E-2,7.976227714E-1
2.015399553E0,-8.029823899E-1,1.130100712E-2,-3.207042441E-2,8.037020240E-1
2.016262553E0,-8.029823899E-1,1.130100712E-2,-3.207042441E-2,8.037020240E-1
2.024870553E0,-8.307767510E-1,1.802052557E-2,-4.153883830E-2,8.320097502E-1
2.025790553E0,-8.307767510E-1,1.802052557E-2,-4.153883830E-2,8.320097502E-1
2.034048553E0,-8.362745047E-1,3.878994286E-2,-5.283984542E-2,8.388395294E-1
2.034909553E0,-8.362745047E-1,3.878994286E-2,-5.283984542E-2,8.388395294E-1
2.043340553E0,-8.026769161E-1,5.070181563E-2,-4.367686436E-2,8.054617150E-1
2.044260553E0,-8.026769161E-1,5.070181563E-2,-4.367686436E-2,8.054617150E-1
2.052669553E0,-7.544185519E-1,6.200282276E-2,-4.153883830E-2,7.581010332E-1
2.053549553E0,-7.544185519E-1,6.200282276E-2,-4.153883830E-2,7.581010332E-1
2.062007553E0,-7.006624341E-1,6.169738993E-2,-3.298672289E-2,7.041466739E-1
2.062886553E0,-7.006624341E-1,6.169738993E-2,-3.298672289E-2,7.041466739E-1
2.071320553E0,-6.493497491E-1,7.360926270E-2,-2.657263726E-2,6.540485649E-1
2.072178553E0,-6.493497491E-1,7.360926270E-2,-2.657263726E-2,6.540485649E-1
2.080646553E0,-6.270532012E-1,7.880161703E-2,-1.618792862E-2,6.321925822E-1
2.081503553E0,-6.270532012E-1,7.880161703E-2,-1.618792862E-2,6.321925822E-1
2.089972553E0,-6.191119552E-1,6.414084882E-2,-1.221730467E-2,6.225455197E-1
2.090832553E0,-6.191119552E-1,6.414084882E-2,-1.221730467E-2,6.225455197E-1
2.099416553E0,-6.365215778E-1,3.909537569E-2,-1.374446787E-2,6.378691699E-1
2.100377553E0,-6.365215778E-1,3.909537569E-2,-1.374446787E-2,6.378691699E-1
2.108716553E0,-6.856962442E-1,1.191187184E-2,-1.618792862E-2,6.859907296E-1
2.109666553E0,-6.856962442E-1,1.191187184E-2,-1.618792862E-2,6.859907296E-1
2.117952553E0,-7.281513810E-1,2.321287990E-2,-2.443460934E-2,7.289309443E-1
2.118819553E0,-7.281513810E-1,2.321287990E-2,-2.443460934E-2,7.289309443E-1
2.127469553E0,-7.443392873E-1,6.108652428E-2,-3.115412779E-2,7.474912158E-1
2.128359553E0,-7.443392873E-1,6.108652428E-2,-3.115412779E-2,7.474912158E-1
2.136586553E0,-7.431175709E-1,9.926560521E-2,-2.840523422E-2,7.502561175E-1
2.137464553E0,-7.431175709E-1,9.926560521E-2,-2.840523422E-2,7.502561175E-1
